time,RASIS,,,LASIS,,,RPSIS,,,LPSIS,,,RGT,,,LGT,,,RAsho,,,RPsho,,
0,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.0514171,28.1747,32.6894,95.7796,28.8629,59.3955,94.6746,11.2323,41.5427,97.5476,11.4184,50.9475,97.2016,22.1572,27.9553,85.9049,21.7654,64.185,85.6025,25.2382,32.1983,140.432,11.0439,31.1391,141.294
0.0533947,28.1736,32.691,95.7777,28.8623,59.3951,94.6757,11.2308,41.5423,97.5474,11.4166,50.9448,97.203,22.1551,27.9529,85.9028,21.7622,64.1846,85.6045,25.2302,32.1933,140.424,11.0425,31.1383,141.294
0.0553723,28.1731,32.6923,95.7774,28.8612,59.3949,94.6756,11.2309,41.541,97.5481,11.4151,50.944,97.2022,22.1535,27.9534,85.9008,21.7615,64.1857,85.605,25.2269,32.1927,140.422,11.0415,31.1364,141.293
0.0573499,28.1731,32.6932,95.7787,28.8594,59.3949,94.6741,11.2328,41.5388,97.5496,11.4137,50.945,97.1992,22.1522,27.9569,85.8989,21.7631,64.1886,85.6038,25.2283,32.1966,140.428,11.0409,31.1335,141.293
0.0593274,28.1728,32.6932,95.7796,28.8595,59.3946,94.6743,11.2324,41.5365,97.5506,11.4124,50.9449,97.1978,22.1502,27.9583,85.8988,21.7635,64.1895,85.6028,25.2305,32.1982,140.43,11.0397,31.1323,141.294
0.061305,28.1722,32.6922,95.7802,28.8618,59.394,94.6764,11.2294,41.5341,97.5511,11.4112,50.9435,97.1984,22.1472,27.9571,85.9009,21.7622,64.1882,85.6017,25.2338,32.1972,140.427,11.0377,31.1332,141.296
0.0632826,28.1714,32.6914,95.78,28.8631,59.3933,94.6768,11.2279,41.5341,97.5517,11.4112,50.9421,97.199,22.1469,27.9554,85.9025,21.7611,64.1877,85.6004,25.2338,32.1948,140.424,11.0362,31.1334,141.296
0.0652602,28.1704,32.691,95.7789,28.8628,59.3924,94.6751,11.2282,41.5376,97.5525,11.4128,50.9407,97.1996,22.1502,27.9531,85.9033,21.7603,64.1883,85.5988,25.2295,32.1906,140.423,11.0353,31.1326,141.294
0.0672378,28.1694,32.6905,95.7778,28.862,59.3923,94.6733,11.2281,41.5396,97.5526,11.4131,50.9413,97.2001,22.1516,27.9536,85.9039,21.76,64.1876,85.5977,25.227,32.1894,140.425,11.0349,31.1331,141.294
0.0692153,28.1683,32.6898,95.7767,28.8603,59.3935,94.6717,11.2274,41.5391,97.5516,11.4112,50.9449,97.2001,22.1497,27.9585,85.9045,21.7606,64.185,85.5976,25.2272,32.193,140.432,11.035,31.1356,141.294
