total mass,68.63536835,,,,time,Rft_COM,,,Lft_COM,,,Rshank_COM,,,Lshank_COM,,,Rthigh_COM,,,Lthigh_COM,,,Rankle_jc,,,Lankle_jc,,,Rknee_jc,,,Lknee_jc,,,Rhip_jc,,,Lhip_jc,,,GRF_Rleg,,,GRF_Lleg,,,GRT_Rleg,,,GRT_Lleg,,,COP_Rleg,,,COP_Lleg,,,Rft_angle,,,Lft_angle,,,Rshank_angle,,,Lshank_angle,,,Rthigh_angle,,,Lthigh_angle,,
Mass of foot,0.940304546,,,,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
Mass of shank,2.97191145,,,,0,24.3536,14.4634,4.34949,26.1178,73.5961,3.88149,24.6338,21.8102,30.3626,25.4027,68.6894,29.8395,21.1376,32.6839,69.016,20.5842,60.357,68.5629,21.7358,15.913,9.71618,23.2699,71.5231,8.95521,26.966,26.5558,46.9774,27.1189,66.4091,46.6457,17.0957,36.9336,84.2993,16.0525,56.1601,83.7621,-8.24327,85.6914,315.385,1.29238,-78.0076,359.687,-32.9209,-24.7408,6.05544,20.3293,-9.23625,-3.83723,32.4201,12.0698,-1.97754,26.5742,75.106,-2.35659,-9.40859,2.07314,-101.107,7.59801,2.25202,-65.6219,-15.9407,7.68659,-108.795,7.72697,5.7783,-58.1401,-15.5392,-14.2945,-89.5546,15.4365,-16.0346,-82.5683
Mass of thigh,9.718768159,,,,0.00197758,24.3547,14.4634,4.35395,26.1175,73.5961,3.87984,24.6388,21.8148,30.3623,25.404,68.6946,29.8399,21.1411,32.6919,69.0138,20.5845,60.3658,68.5634,21.7369,15.9157,9.71655,23.2688,71.5248,8.95571,26.9741,26.562,46.9766,27.1222,66.417,46.646,17.096,36.943,84.2961,16.0507,56.1694,83.7627,-8.1778,85.2436,315.127,1.29448,-78.2713,360.568,-32.7863,-24.6849,6.0625,20.2714,-9.21244,-3.83789,32.4089,12.1039,-1.97783,26.5613,75.0761,-2.35652,-9.44036,2.09918,-101.1,7.57219,2.24558,-65.6188,-15.9462,7.69695,-108.799,7.71766,5.78516,-58.1366,-15.5447,-14.306,-89.5471,15.4344,-16.0416,-82.5654
,,,,,0.00395516,24.3557,14.4635,4.35841,26.1172,73.596,3.87818,24.6438,21.8194,30.362,25.4053,68.6998,29.8403,21.1446,32.7,69.0115,20.5848,60.3746,68.564,21.7379,15.9183,9.71692,23.2676,71.5265,8.95621,26.9823,26.5682,46.9757,27.1256,66.425,46.6464,17.0962,36.9523,84.2929,16.0489,56.1788,83.7634,-8.10913,85.127,313.991,1.20658,-78.2896,361.186,-32.7321,-24.6524,6.05189,20.3292,-9.16099,-3.83258,32.4268,12.0836,-1.97761,26.5427,75.0825,-2.35657,-9.47219,2.12523,-101.094,7.54639,2.23915,-65.6157,-15.9517,7.70731,-108.804,7.70835,5.79202,-58.1332,-15.5501,-14.3175,-89.5397,15.4323,-16.0487,-82.5625
,,,,,0.00593274,24.3575,14.4645,4.3616,26.1171,73.5961,3.88124,24.6509,21.8233,30.3641,25.4057,68.7054,29.8404,21.1492,32.7093,69.0107,20.5833,60.3847,68.5634,21.7413,15.917,9.72029,23.2674,71.5262,8.95651,26.9924,26.5763,46.9768,27.1265,66.4354,46.6463,17.0971,36.9624,84.2908,16.0457,56.1886,83.7625,-8.28967,84.7682,313.204,1.15681,-78.4673,361.89,-32.7453,-24.7501,6.0485,20.3344,-9.24222,-3.79885,32.4777,12.0532,-1.97716,26.5603,75.073,-2.35651,-9.44885,2.13958,-101.093,7.55358,2.23809,-65.6148,-15.9662,7.71697,-108.816,7.69253,5.7941,-58.1382,-15.5542,-14.3312,-89.552,15.4333,-16.0547,-82.5535
MOI of foot,,,,,0.00791032,24.3594,14.4654,4.36479,26.1169,73.5961,3.88431,24.658,21.8272,30.3663,25.4062,68.711,29.8405,21.1539,32.7185,69.0099,20.5818,60.3947,68.5629,21.7447,15.9156,9.72367,23.2671,71.5259,8.95682,27.0024,26.5844,46.9779,27.1275,66.4458,46.6461,17.098,36.9724,84.2886,16.0424,56.1985,83.7617,-8.08902,84.6087,312.419,1.20434,-78.6424,362.242,-32.588,-24.7112,6.03266,20.3278,-9.20815,-3.82196,32.4851,12.0772,-1.9773,26.5484,75.0657,-2.35651,-9.42544,2.15392,-101.093,7.56082,2.23703,-65.614,-15.9806,7.72663,-108.828,7.67671,5.79619,-58.1431,-15.5582,-14.3449,-89.5643,15.4343,-16.0608,-82.5445
24.5,0,0,,,0.00988791,24.3611,14.4638,4.3677,26.1174,73.5962,3.88237,24.6618,21.8298,30.3676,25.4078,68.713,29.8396,21.1549,32.7273,69.0082,20.5827,60.4029,68.5626,21.7469,15.9162,9.72592,23.2679,71.5271,8.95441,27.0075,26.5886,46.9786,27.1297,66.4483,46.6466,17.0963,36.9843,84.2853,16.0424,56.2105,83.7608,-8.17807,84.2909,310.936,1.14339,-78.8371,362.861,-32.4716,-24.6608,6.03964,20.3675,-9.11008,-3.85088,32.5066,12.0651,-1.97711,26.517,75.067,-2.35656,-9.4499,2.17267,-101.088,7.55571,2.23331,-65.6172,-15.9863,7.73079,-108.826,7.67407,5.79784,-58.1357,-15.5707,-14.355,-89.5379,15.4213,-16.0653,-82.5408
0,25.7,0,,,0.0118655,24.3628,14.4622,4.3706,26.1179,73.5963,3.88041,24.6656,21.8324,30.369,25.4093,68.7149,29.8388,21.1559,32.736,69.0065,20.5836,60.411,68.5622,21.7492,15.9169,9.72817,23.2688,71.5283,8.952,27.0125,26.5929,46.9793,27.1319,66.4509,46.6471,17.0945,36.9961,84.2819,16.0424,56.2226,83.76,-8.28871,84.0004,310.674,1.18966,-79.2115,363.482,-32.4011,-24.6334,5.99568,20.4245,-9.08734,-3.80595,32.5044,12.0788,-1.97722,26.5065,75.0732,-2.3566,-9.47449,2.19143,-101.083,7.55056,2.22958,-65.6204,-15.992,7.73493,-108.825,7.67146,5.79948,-58.1282,-15.5832,-14.3651,-89.5113,15.4082,-16.0698,-82.5372
0,0,12.4,,,0.0138431,24.365,14.4627,4.37351,26.1167,73.5959,3.87839,24.6722,21.835,30.3716,25.4088,68.7229,29.8395,21.1578,32.7445,69.0054,20.5818,60.4227,68.5628,21.7516,15.917,9.73258,23.2668,71.531,8.95309,27.0226,26.5975,46.9804,27.1325,66.4632,46.6473,17.0906,37.0073,84.2793,16.039,56.2338,83.7607,-8.19948,83.8178,309.454,1.16877,-79.2965,364.188,-32.2331,-24.6019,5.98029,20.4444,-9.05001,-3.80072,32.5254,12.092,-1.97722,26.4914,75.0677,-2.35661,-9.46858,2.20838,-101.076,7.51826,2.2102,-65.622,-15.9998,7.74636,-108.809,7.65727,5.80364,-58.1191,-15.594,-14.385,-89.5154,15.4095,-16.0751,-82.5329
,,,,,0.0158206,24.3673,14.4632,4.37641,26.1156,73.5955,3.87636,24.6789,21.8377,30.3742,25.4083,68.7309,29.8401,21.1596,32.753,69.0043,20.58,60.4344,68.5633,21.754,15.9171,9.737,23.2649,71.5337,8.95418,27.0326,26.6021,46.9815,27.1332,66.4755,46.6476,17.0868,37.0185,84.2766,16.0356,56.2451,83.7614,-8.24262,83.7239,308.319,1.05766,-79.4038,365.157,-32.2011,-24.6117,5.9699,20.4865,-9.00987,-3.78424,32.5578,12.0642,-1.97687,26.4738,75.0644,-2.35662,-9.46256,2.22531,-101.069,7.4859,2.19078,-65.6237,-16.0076,7.75781,-108.792,7.64304,5.8078,-58.11,-15.6048,-14.405,-89.5196,15.4108,-16.0804,-82.5287
MOI of shank,,,,,0.0177982,24.3661,14.4631,4.38188,26.1154,73.5977,3.87709,24.6868,21.8438,30.3772,25.4099,68.7339,29.8406,21.1647,32.7675,69.0014,20.5821,60.4465,68.5624,21.7604,15.9168,9.74308,23.2638,71.5339,8.95603,27.0418,26.6134,46.982,27.1369,66.4807,46.647,17.0891,37.0352,84.2713,16.0365,56.2618,83.7603,-8.15666,83.2303,307.622,1.09918,-79.5849,365.247,-32.1262,-24.6034,5.99414,20.445,-9.08264,-3.74454,32.5733,12.0648,-1.97681,26.4931,75.0516,-2.35655,-9.47033,2.25445,-101.066,7.49962,2.19723,-65.6243,-16.0264,7.76233,-108.824,7.63604,5.81544,-58.1168,-15.6148,-14.416,-89.529,15.3944,-16.0856,-82.531
24.9,0,0,,,0.0197758,24.365,14.463,4.38736,26.1152,73.6,3.87782,24.6947,21.8499,30.3802,25.4114,68.7368,29.8411,21.1699,32.782,68.9985,20.5842,60.4585,68.5615,21.7667,15.9164,9.74917,23.2627,71.534,8.95788,27.051,26.6248,46.9826,27.1406,66.4858,46.6463,17.0915,37.0519,84.266,16.0374,56.2786,83.7591,-8.1322,83.0474,306.665,1.05762,-79.8891,366.215,-31.9819,-24.5341,5.94454,20.5162,-9.03262,-3.75096,32.5756,12.0792,-1.9769,26.4729,75.0563,-2.3566,-9.47817,2.28364,-101.063,7.51354,2.20379,-65.6249,-16.0453,7.76682,-108.857,7.62908,5.8231,-58.1236,-15.6248,-14.427,-89.5385,15.378,-16.0909,-82.5334
0,25.5,0,,,0.0217534,24.3681,14.4633,4.39125,26.1155,73.6001,3.87904,24.7,21.8509,30.3817,25.4096,68.7419,29.84,21.1702,32.7877,68.9977,20.5812,60.4669,68.5612,21.7703,15.9168,9.7519,23.2625,71.5356,8.9562,27.0576,26.6262,46.9831,27.1374,66.4937,46.6458,17.0875,37.0607,84.2644,16.0347,56.2875,83.7591,-8.22387,82.6903,306.403,1.13097,-79.9291,366.572,-31.9016,-24.5654,5.95741,20.562,-8.9398,-3.79106,32.5927,12.0964,-1.97694,26.4451,75.0633,-2.35667,-9.48164,2.29765,-101.059,7.50869,2.19745,-65.6344,-16.0476,7.77153,-108.861,7.61945,5.81846,-58.141,-15.6362,-14.4417,-89.5013,15.3764,-16.0901,-82.5422
0,0,10.3,,,0.023731,24.3712,14.4636,4.39513,26.1159,73.6001,3.88026,24.7052,21.8518,30.3832,25.4077,68.747,29.8389,21.1706,32.7934,68.9969,20.5782,60.4754,68.561,21.7739,15.9172,9.75461,23.2624,71.5372,8.95451,27.0641,26.6275,46.9836,27.1341,66.5016,46.6452,17.0835,37.0694,84.2627,16.0319,56.2963,83.7591,-8.29035,82.4439,305.615,1.15264,-80.1678,367.799,-31.7714,-24.5625,5.9197,20.5642,-8.95201,-3.76916,32.6123,12.1122,-1.97696,26.4403,75.0452,-2.35662,-9.48509,2.31157,-101.054,7.50371,2.19103,-65.6439,-16.0498,7.77624,-108.864,7.60981,5.81376,-58.1585,-15.6476,-14.4564,-89.4637,15.3749,-16.0894,-82.5511
,,,,,0.0257086,24.3716,14.4627,4.39751,26.1153,73.598,3.87961,24.7165,21.8481,30.3877,25.4002,68.7453,29.8363,21.1699,32.7885,68.9983,20.5502,60.4675,68.5514,21.7887,15.9074,9.76036,23.2619,71.5371,8.95512,27.0726,26.6288,46.9871,27.121,66.4986,46.6399,17.0766,37.0601,84.2625,15.9934,56.285,83.7466,-8.22114,82.2808,304.305,1.06616,-80.4777,367.984,-31.8112,-24.5529,5.89232,20.6116,-8.91237,-3.75213,32.6437,12.0544,-1.97641,26.4284,75.0553,-2.35667,-9.42095,2.3119,-101.049,7.47291,2.18583,-65.6285,-16.0664,7.7668,-109.056,7.61522,5.79574,-58.1686,-15.634,-14.4799,-89.4321,15.3896,-16.1261,-82.7064
MOI of thigh,,,,,0.0276861,24.3721,14.4617,4.39989,26.1147,73.5958,3.87893,24.7278,21.8445,30.3923,25.3927,68.7435,29.8336,21.1693,32.7835,68.9997,20.5218,60.4594,68.5419,21.8036,15.8976,9.76613,23.2615,71.5369,8.95575,27.081,26.6301,46.9907,27.1078,66.4956,46.6346,17.0697,37.0507,84.2624,15.9545,56.2734,83.7341,-8.08688,82.0982,303.175,1.2016,-80.5839,368.604,-31.6663,-24.4761,5.93239,20.6315,-8.90464,-3.7471,32.6485,12.0634,-1.97645,26.4222,75.0513,-2.35667,-9.35632,2.31214,-101.044,7.44193,2.18063,-65.6128,-16.0832,7.75726,-109.25,7.62078,5.77755,-58.1787,-15.6202,-14.5036,-89.4004,15.4047,-16.1632,-82.8627
32.9,0,0,,,0.0296637,24.374,14.4611,4.40523,26.1144,73.5967,3.87956,24.7361,21.8455,30.3952,25.3925,68.7473,29.8332,21.1741,32.7925,68.998,20.5202,60.4702,68.5426,21.8089,15.8962,9.77,23.2602,71.5362,8.95382,27.0917,26.6331,46.9928,27.1084,66.5031,46.6354,17.0703,37.064,84.2581,15.9514,56.2866,83.7349,-8.04328,81.7829,302.305,1.13867,-80.6014,369.487,-31.5158,-24.4899,5.89501,20.7238,-8.83054,-3.73092,32.6763,12.083,-1.97646,26.3964,75.0629,-2.35674,-9.35296,2.3231,-101.049,7.46122,2.18816,-65.6212,-16.0901,7.76522,-109.278,7.60791,5.78007,-58.1545,-15.6374,-14.5188,-89.396,15.3966,-16.1689,-82.8679
0,32.9,0,,,0.0316413,24.376,14.4605,4.41059,26.1141,73.5977,3.8802,24.7444,21.8467,30.3981,25.3923,68.7512,29.8328,21.1789,32.8017,68.9963,20.5188,60.4813,68.5435,21.8142,15.8949,9.77385,23.2589,71.5355,8.95186,27.1025,26.6362,46.995,27.1091,66.5107,46.6362,17.071,37.0774,84.2537,15.9486,56.3,83.7358,-8.08744,81.5806,301.95,1.27324,-80.8415,370.887,-31.5001,-24.4649,5.90655,20.6437,-8.83503,-3.72629,32.6775,12.076,-1.97641,26.3886,75.0201,-2.35663,-9.35011,2.33415,-101.053,7.48096,2.19581,-65.6298,-16.097,7.77332,-109.304,7.5949,5.78275,-58.13,-15.6548,-14.534,-89.3918,15.3882,-16.1744,-82.8718
0,0,14.9,,,0.0336189,24.3763,14.4588,4.4157,26.114,73.5964,3.87844,24.75,21.8501,30.4011,25.3906,68.7547,29.8322,21.1797,32.8107,68.9944,20.5152,60.49,68.5425,21.8184,15.895,9.77811,23.2567,71.5363,8.95174,27.1092,26.6423,46.9971,27.1078,66.5162,46.6352,17.0676,37.0884,84.2491,15.9433,56.3109,83.7347,-8.08735,81.3976,300.995,1.32229,-81.0787,371.069,-31.4016,-24.4527,5.87999,20.8,-8.74022,-3.73219,32.6991,12.0756,-1.97631,26.3618,75.0595,-2.35679,-9.37897,2.36074,-101.041,7.45472,2.16806,-65.6248,-16.1066,7.77707,-109.335,7.58811,5.78444,-58.162,-15.6644,-14.5499,-89.3841,15.3804,-16.1806,-82.8758
,,,,,0.0355965,24.3765,14.457,4.42081,26.1138,73.5951,3.87665,24.7556,21.8535,30.4042,25.3889,68.7581,29.8315,21.1803,32.8197,68.9925,20.5115,60.4987,68.5414,21.8225,15.895,9.78237,23.2545,71.5371,8.95163,27.1159,26.6485,46.9992,27.1066,66.5217,46.6342,17.0641,37.0994,84.2444,15.9379,56.3219,83.7336,-7.9747,81.1719,300.554,1.46015,-81.3403,371.606,-31.3393,-24.4225,5.83038,20.8376,-8.69627,-3.7104,32.701,12.0809,-1.97633,26.3466,75.0616,-2.35682,-9.40813,2.38748,-101.029,7.42807,2.13999,-65.6198,-16.1162,7.78077,-109.366,7.58139,5.78612,-58.1945,-15.6739,-14.5659,-89.3764,15.3726,-16.1868,-82.8797
,,,,,0.037574,24.3783,14.4569,4.42347,26.1142,73.5971,3.87737,24.7635,21.8559,30.4088,25.389,68.7621,29.8312,21.1844,32.8273,68.9926,20.5101,60.5068,68.5405,21.827,15.8937,9.79076,23.2539,71.5379,8.95148,27.1267,26.6538,47.0008,27.1072,66.5284,46.6338,17.0635,37.1085,84.2434,15.9351,56.3309,83.7324,-7.97481,80.7452,299.249,1.28209,-81.3396,372.662,-31.2164,-24.3991,5.8548,20.7998,-8.66722,-3.68793,32.7286,12.0766,-1.97618,26.3322,75.0355,-2.35677,-9.39018,2.40036,-101.025,7.43075,2.14438,-65.6135,-16.1285,7.79082,-109.34,7.57252,5.78817,-58.1854,-15.6804,-14.5823,-89.3779,15.3696,-16.1921,-82.8752
,,,,,0.0395516,24.3802,14.4568,4.42611,26.1146,73.599,3.87811,24.7715,21.8582,30.4135,25.3891,68.7662,29.8309,21.1884,32.8349,68.9926,20.5087,60.5148,68.5396,21.8315,15.8923,9.79918,23.2532,71.5386,8.95133,27.1375,26.6591,47.0024,27.1079,66.5351,46.6334,17.0629,37.1176,84.2424,15.9323,56.3399,83.7311,-7.88697,80.6306,299.069,1.47859,-81.672,372.752,-31.1735,-24.3666,5.84937,20.8246,-8.76791,-3.65424,32.7227,12.0846,-1.97626,26.3587,75.0409,-2.35674,-9.37174,2.4131,-101.022,7.43374,2.14913,-65.6073,-16.1407,7.80095,-109.314,7.56364,5.79023,-58.1759,-15.6869,-14.5986,-89.3794,15.3667,-16.1974,-82.8707
,,,,,0.0415292,24.3829,14.4568,4.42907,26.1137,73.5996,3.87864,24.77,21.8659,30.415,25.3901,68.7698,29.8306,21.1846,32.8466,68.9916,20.5083,60.5225,68.5384,21.8366,15.892,9.80278,23.2521,71.5416,8.95108,27.1306,26.6732,47.0022,27.1107,66.5392,46.6329,17.0612,37.1277,84.2407,15.9297,56.3499,83.7294,-7.77209,80.4659,297.5,1.48729,-81.6919,373.293,-31.0854,-24.3009,5.84936,20.8349,-8.61479,-3.64936,32.7436,12.0594,-1.97599,26.3143,75.0355,-2.3568,-9.36979,2.43084,-101.021,7.41898,2.14331,-65.6191,-16.1628,7.78345,-109.322,7.56197,5.79605,-58.2061,-15.6818,-14.5923,-89.2292,15.3587,-16.2058,-82.8717
,,,,,0.0435068,24.3856,14.4567,4.43204,26.1127,73.6001,3.87917,24.7683,21.8736,30.4164,25.3912,68.7734,29.8303,21.1807,32.8584,68.9905,20.508,60.5301,68.5372,21.8417,15.8917,9.80633,23.2511,71.5447,8.95083,27.1235,26.6874,47.002,27.1135,66.5434,46.6325,17.0595,37.1379,84.239,15.9272,56.36,83.7277,-7.73012,79.999,296.805,1.60419,-81.9932,374.422,-30.8952,-24.2798,5.81827,20.8693,-8.58159,-3.67818,32.7556,12.0988,-1.97621,26.2984,75.0279,-2.3568,-9.36803,2.44865,-101.02,7.40399,2.13738,-65.6311,-16.1849,7.76565,-109.33,7.56039,5.80192,-58.2367,-15.6766,-14.5858,-89.0778,15.3507,-16.2143,-82.8729
,,,,,0.0454844,24.3882,14.4573,4.43612,26.1118,73.5994,3.877,24.7757,21.8811,30.4202,25.4005,68.7815,29.8321,21.186,32.8852,68.9861,20.5326,60.5594,68.5475,21.8447,15.8921,9.81303,23.2526,71.5428,8.94811,27.1343,26.7005,47.0034,27.129,66.5594,46.6379,17.0609,37.1741,84.2307,15.9581,56.3985,83.7413,-7.79528,79.7951,296.372,1.6941,-81.9466,374.78,-30.9012,-24.2881,5.80221,20.9189,-8.54822,-3.64999,32.7703,12.0816,-1.97602,26.2873,75.0358,-2.35684,-9.3607,2.46119,-101.018,7.42681,2.14451,-65.6334,-16.2052,7.77722,-109.34,7.53207,5.82193,-58.2345,-15.7134,-14.5999,-89.1102,15.3152,-16.1923,-82.7075
,,,,,0.0474619,24.3908,14.458,4.44021,26.1109,73.5987,3.8748,24.7831,21.8886,30.4241,25.4098,68.7896,29.8339,21.1914,32.9121,68.9818,20.5574,60.5889,68.5579,21.8477,15.8926,9.81977,23.2541,71.5409,8.94536,27.1453,26.7137,47.0049,27.1446,66.5756,46.6434,17.0624,37.2106,84.2223,15.9894,56.4372,83.7551,-7.77253,79.7013,295.147,1.76624,-82.2101,375.399,-30.7428,-24.2426,5.79198,20.8599,-8.46744,-3.62814,32.7888,12.0921,-1.97601,26.2621,75.0109,-2.35681,-9.35329,2.47365,-101.017,7.45012,2.15182,-65.6356,-16.2253,7.78916,-109.35,7.50343,5.84205,-58.2319,-15.7507,-14.6142,-89.1449,15.2795,-16.1701,-82.5399
,,,,,0.0494395,24.3912,14.4584,4.44455,26.1113,73.5996,3.8764,24.8,21.8881,30.4282,25.4112,68.7958,29.8336,21.1987,32.9187,68.9814,20.5582,60.5995,68.5551,21.8556,15.8918,9.82562,23.2521,71.5428,8.94531,27.1694,26.7135,47.0077,27.1488,66.5852,46.6431,17.058,37.2218,84.2197,15.9877,56.4486,83.7507,-7.70189,79.4729,294.627,1.72231,-82.2523,375.76,-30.7152,-24.0828,5.77471,20.9173,-8.44182,-3.62276,32.7492,12.083,-1.97613,26.2531,75.0208,-2.35685,-9.34421,2.4943,-101.027,7.43543,2.13917,-65.6347,-16.2275,7.81339,-109.323,7.49202,5.8515,-58.2555,-15.7692,-14.6545,-89.273,15.2785,-16.1797,-82.5114
,,,,,0.0514171,24.3915,14.4588,4.44889,26.1117,73.6005,3.87805,24.817,21.8875,30.4324,25.4125,68.8019,29.8334,21.206,32.925,68.981,20.5586,60.6099,68.5522,21.8635,15.8909,9.83145,23.25,71.5448,8.94529,27.1938,26.7131,47.0105,27.1528,66.5947,46.6426,17.0535,37.2327,84.2171,15.9857,56.4596,83.746,-7.61709,79.2037,293.403,1.68164,-82.4949,376.717,-30.5854,-24.2146,5.78318,20.8248,-8.41623,-3.61789,32.8281,12.0839,-1.97577,26.2406,74.9821,-2.35676,-9.33512,2.51506,-101.036,7.42018,2.12623,-65.6337,-16.2294,7.83783,-109.295,7.48085,5.8608,-58.2795,-15.7874,-14.6953,-89.403,15.2781,-16.1899,-82.4848
,,,,,0.0533947,24.3944,14.4596,4.45168,26.1103,73.6019,3.87662,24.8159,21.8959,30.4354,25.4147,68.8097,29.8323,21.2018,32.9372,68.981,20.558,60.6214,68.5518,21.8685,15.8905,9.83637,23.2522,71.5455,8.94293,27.1877,26.7287,47.0119,27.155,66.6082,46.6426,17.0507,37.2428,84.2161,15.9831,56.4697,83.7453,-7.66176,79.0662,292.526,1.793,-82.5134,377.159,-30.4965,-24.2343,5.7898,20.8469,-8.38413,-3.62363,32.8595,12.083,-1.97562,26.2294,74.9815,-2.35677,-9.3236,2.53504,-101.028,7.45359,2.13338,-65.6488,-16.2536,7.82145,-109.327,7.4612,5.86073,-58.2589,-15.7806,-14.6922,-89.2665,15.2833,-16.1963,-82.476
,,,,,0.0553723,24.3973,14.4604,4.45445,26.1088,73.6032,3.87514,24.8145,21.9044,30.4383,25.417,68.8176,29.8313,21.1975,32.9496,68.981,20.5574,60.6329,68.5514,21.8735,15.89,9.84128,23.2545,71.5461,8.94053,27.1812,26.7444,47.0134,27.1572,66.6218,46.6427,17.0479,37.2528,84.2151,15.9806,56.4797,83.7447,-7.61689,78.7303,291.403,1.86648,-82.8391,377.517,-30.3585,-24.178,5.73528,20.965,-8.27927,-3.61296,32.8721,12.0902,-1.97562,26.1996,75.0076,-2.3569,-9.31203,2.55501,-101.019,7.48775,2.14082,-65.6641,-16.2781,7.80444,-109.36,7.44142,5.86051,-58.2376,-15.7735,-14.6885,-89.1263,15.2886,-16.2027,-82.4674
,,,,,0.0573499,24.3992,14.4606,4.45603,26.1098,73.602,3.8731,24.8214,21.9076,30.4413,25.4192,68.8238,29.8309,21.1991,32.9592,68.98,20.5607,60.6439,68.5503,21.8792,15.8887,9.84657,23.2509,71.5479,8.94006,27.1891,26.7511,47.0145,27.1641,66.6317,46.6423,17.0451,37.2644,84.2126,15.9813,56.4915,83.7431,-7.7236,78.6804,290.963,1.93606,-83.0124,378.222,-30.2671,-24.0811,5.70176,20.9454,-8.25677,-3.5735,32.8513,12.1058,-1.97582,26.1895,74.9921,-2.35687,-9.28876,2.57752,-101.029,7.43199,2.11871,-65.6505,-16.2911,7.80803,-109.324,7.42915,5.87619,-58.2545,-15.7819,-14.7041,-89.1106,15.2864,-16.2119,-82.4368
,,,,,0.0593274,24.4012,14.4608,4.45759,26.1109,73.6007,3.87105,24.8284,21.9106,30.4443,25.4214,68.8301,29.8305,21.2008,32.9688,68.979,20.5639,60.6549,68.5492,21.8849,15.8874,9.85187,23.2472,71.5496,8.93963,27.1972,26.7577,47.0157,27.171,66.6416,46.642,17.0424,37.276,84.2101,15.9821,56.5033,83.7414,-7.41354,78.3642,289.746,1.91533,-83.1901,378.673,-30.2078,-24.0579,5.70247,20.881,-8.20748,-3.54024,32.8781,12.0826,-1.97554,26.1739,74.9684,-2.35682,-9.26531,2.60006,-101.038,7.37474,2.09608,-65.6364,-16.304,7.81196,-109.287,7.417,5.89214,-58.272,-15.7905,-14.72,-89.097,15.2841,-16.2211,-82.4059
,,,,,0.061305,24.4029,14.4633,4.46392,26.1124,73.6012,3.87123,24.8366,21.9136,30.4481,25.421,68.8335,29.8302,21.202,32.9768,68.9795,20.5612,60.663,68.5493,21.8894,15.887,9.85606,23.2472,71.5503,8.93891,27.2083,26.7633,47.0192,27.1703,66.6472,46.6421,17.0368,37.2857,84.2086,15.978,56.5131,83.7416,-7.47688,78.2695,288.871,2.00943,-82.9823,379.993,-30.1419,-24.0311,5.71416,21.0153,-8.15011,-3.5688,32.8939,12.074,-1.9754,26.1513,74.9846,-2.35691,-9.24152,2.60881,-101.042,7.36415,2.0898,-65.6294,-16.3128,7.82133,-109.303,7.40953,5.89106,-58.2919,-15.7984,-14.7445,-89.1131,15.2781,-16.2261,-82.4179
,,,,,0.0632826,24.4047,14.4658,4.47033,26.1138,73.6017,3.87146,24.8447,21.9165,30.452,25.4205,68.8369,29.83,21.2032,32.9847,68.9801,20.5584,60.6711,68.5495,21.8938,15.8866,9.86024,23.2472,71.551,8.93819,27.2194,26.7688,47.0227,27.1694,66.6527,46.6422,17.0311,37.2953,84.2072,15.9738,56.5229,83.7418,-7.49968,77.9322,288.442,2.05648,-83.2668,380.428,-30.0963,-23.9508,5.68158,20.946,-8.11673,-3.56415,32.8785,12.0742,-1.97548,26.1401,74.9601,-2.35685,-9.21771,2.6173,-101.045,7.3544,2.0838,-65.6226,-16.3215,7.8308,-109.319,7.40214,5.88968,-58.3118,-15.8062,-14.7691,-89.1298,15.272,-16.2311,-82.4307
,,,,,0.0652602,24.4077,14.4656,4.47197,26.1123,73.6018,3.87332,24.8518,21.9194,30.4553,25.4198,68.8429,29.8282,21.2071,32.9937,68.9786,20.5557,60.6814,68.5487,21.8973,15.8853,9.86521,23.2463,71.5523,8.93591,27.2294,26.7752,47.0247,27.1689,66.6625,46.6409,17.0308,37.3061,84.2032,15.9695,56.5335,83.7413,-7.58943,77.7067,287.553,2.05817,-83.4459,380.526,-29.9878,-23.9917,5.67148,20.94,-8.09184,-3.53008,32.9183,12.0796,-1.97533,26.133,74.9571,-2.35685,-9.19305,2.64071,-101.052,7.35861,2.07945,-65.6304,-16.3338,7.84028,-109.311,7.38907,5.89045,-58.3077,-15.8149,-14.785,-89.138,15.2705,-16.2361,-82.426
,,,,,0.0672378,24.4107,14.4654,4.47352,26.1108,73.6019,3.87521,24.8589,21.9223,30.4586,25.4191,68.8489,29.8265,21.211,33.0027,68.977,20.5529,60.6917,68.5478,21.9008,15.8839,9.8702,23.2453,71.5535,8.93359,27.2393,26.7816,47.0267,27.1684,66.6725,46.6396,17.0305,37.3169,84.1991,15.9652,56.5442,83.7407,-7.50063,77.3246,286.081,2.15874,-83.6112,381.761,-29.8495,-23.937,5.64512,21.0026,-7.96335,-3.55939,32.9421,12.0743,-1.97519,26.0924,74.9557,-2.35692,-9.16839,2.6644,-101.059,7.36308,2.07514,-65.6385,-16.3461,7.84976,-109.303,7.37588,5.89126,-58.3032,-15.8236,-14.8007,-89.146,15.2692,-16.2411,-82.4208
