Frame,Event,Time (s),Club:CH,,,,,,
,,,X,Y,Z,,,,
148,,-0.923,121.5,60.0,5.0,,,,
149,,-0.922,121.5,59.9,5.0,,,,
150,,-0.921,121.4,59.7,5.0,,,,
151,,-0.92,121.4,59.6,4.9,,,,
152,,-0.919,121.4,59.4,4.9,,,,
153,,-0.918,121.4,59.2,4.9,,,,
154,,-0.917,121.4,59.1,4.9,,,,
155,,-0.916,121.3,58.9,4.9,,,,
156,,-0.915,121.3,58.8,4.9,,,,
157,,-0.914,121.3,58.6,4.9,,,,
158,,-0.913,121.3,58.4,4.9,,,,
159,,-0.912,121.3,58.3,4.9,,,,
160,,-0.911,121.2,58.1,4.9,,,,
161,,-0.91,121.2,57.9,4.9,,,,
162,,-0.909,121.2,57.7,4.9,,,,
163,,-0.908,121.2,57.6,4.9,,,,
164,,-0.907,121.2,57.4,4.8,,,,
165,,-0.906,121.1,57.2,4.8,,,,
166,,-0.905,121.1,57.0,4.8,,,,
167,,-0.904,121.1,56.8,4.8,,,,
168,,-0.903,121.1,56.6,4.8,,,,
169,,-0.902,121.1,56.4,4.8,,,,
170,,-0.901,121.0,56.2,4.8,,,,
171,,-0.9,121.0,56.0,4.8,,,,
172,,-0.899,121.0,55.8,4.8,,,,
173,,-0.898,121.0,55.6,4.8,,,,
174,,-0.897,121.0,55.4,4.8,,,,
175,,-0.896,121.0,55.2,4.8,,,,
176,,-0.895,120.9,55.0,4.8,,,,
177,,-0.894,120.9,54.8,4.8,,,,
178,,-0.893,120.9,54.6,4.8,,,,
179,,-0.892,120.9,54.4,4.8,,,,
180,,-0.891,120.9,54.2,4.7,,,,
181,,-0.89,120.8,53.9,4.7,,,,
182,,-0.889,120.8,53.7,4.7,,,,
183,,-0.888,120.8,53.5,4.7,,,,
184,,-0.887,120.8,53.2,4.7,,,,
185,,-0.886,120.8,53.0,4.7,,,,
186,,-0.885,120.7,52.8,4.7,,,,
187,,-0.884,120.7,52.5,4.7,,,,
188,,-0.883,120.7,52.3,4.7,,,,
189,,-0.882,120.7,52.0,4.7,,,,
190,,-0.881,120.7,51.8,4.7,,,,
191,,-0.88,120.6,51.5,4.7,,,,
192,,-0.879,120.6,51.3,4.7,,,,
193,,-0.878,120.6,51.0,4.7,,,,
194,,-0.877,120.6,50.7,4.7,,,,
195,,-0.876,120.5,50.5,4.7,,,,
196,,-0.875,120.5,50.2,4.7,,,,
197,,-0.874,120.5,49.9,4.7,,,,
198,,-0.873,120.5,49.7,4.7,,,,
199,,-0.872,120.5,49.4,4.7,,,,
200,,-0.871,120.4,49.1,4.7,,,,
201,,-0.87,120.4,48.8,4.7,,,,
202,,-0.869,120.4,48.5,4.7,,,,
203,,-0.868,120.4,48.2,4.7,,,,
204,,-0.867,120.3,47.9,4.7,,,,
205,,-0.866,120.3,47.6,4.7,,,,
206,,-0.865,120.3,47.3,4.7,,,,
207,,-0.864,120.3,47.0,4.7,,,,
208,,-0.863,120.2,46.7,4.7,,,,
209,,-0.862,120.2,46.4,4.7,,,,
